player,course,previous total rounds,course experience,Player_initial_last,tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,tournament name,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Beau Hossler,"Colonial - Ft. Worth, TX",12,Knowledgeable,B. Hossler,401353225,6011,280,278,4,1,21.0,Charles Schwab Challenge,2022-05-29,8.4,2022,0,T21,-0.25,0.56,0.68,0.39,1.63,1.37
Beau Hossler,"Harbour Town Golf Links - Hilton Head Island, SC",8,Knowledgeable,B. Hossler,401353231,6011,142,154,2,0,0.0,RBC Heritage,2022-04-17,8.0,2022,0,CUT,-0.56,-1.89,-1.83,-1.28,-5.0,-5.56
Beau Hossler,"Muirfield Village Golf Club - Dublin, OH",8,Knowledgeable,B. Hossler,401353224,6011,288,289,4,1,32.0,The Memorial Tournament pres. by Nationwide,2022-06-05,12.0,2022,0,T32,1.94,0.43,-1.5,-0.03,-1.09,0.85
Beau Hossler,"PGA National - Palm Beach Gardens, FL",8,Knowledgeable,B. Hossler,401353238,6011,280,280,4,1,16.0,The Honda Classic,2022-02-27,8.0,2022,0,T16,1.39,-0.41,0.66,-0.34,-0.09,1.3
Beau Hossler,"Pebble Beach Resort - Pebble Beach, CA",18,Experienced,B. Hossler,401353235,6011,287,271,4,1,3.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,3,2.03,-0.57,1.0,0.41,0.84,3.04
Beau Hossler,"Port Royal GC - Southampton Parish, Bermuda",8,Knowledgeable,B. Hossler,401353199,6011,142,146,2,0,0.0,Bermuda Championship,2021-10-31,6.5,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beau Hossler,"Riviera Country Club - Pacific Palisades, CA",6,Knowledgeable,B. Hossler,401353237,6011,284,281,4,1,48.0,The Genesis Invitational,2022-02-20,12.0,2022,0,T48,-0.11,0.45,-0.02,-0.18,0.25,0.14
Beau Hossler,"Silverado Resort - Napa, CA",12,Knowledgeable,B. Hossler,401353193,6011,288,277,4,1,16.0,Fortinet Championship,2021-09-20,7.0,2022,0,T16,2.35,0.68,-0.44,-0.91,-0.67,1.68
Beau Hossler,"TPC Craig Ranch - McKinney, TX",2,Novice,B. Hossler,401353227,6011,288,270,4,1,17.0,AT&T Byron Nelson,2022-05-15,9.1,2022,0,T17,1.26,0.37,-0.67,0.58,0.28,1.53
Beau Hossler,"TPC Potomac at Avenel Farm - Potomac, MD",4,Novice,B. Hossler,401353228,6011,140,154,2,0,0.0,Wells Fargo Championship,2022-05-08,9.0,2022,0,CUT,1.02,0.08,-5.5,-1.52,-6.94,-5.92
Beau Hossler,"TPC San Antonio - San Antonio, TX",14,Knowledgeable,B. Hossler,401353273,6011,288,278,4,1,4.0,Valero Texas Open,2022-04-03,8.6,2022,0,T4,1.82,0.54,-0.48,0.33,0.4,2.22
Beau Hossler,"TPC Sawgrass - Ponte Vedra Beach, FL",8,Knowledgeable,B. Hossler,401353254,6011,144,151,2,0,0.0,The Players Championship,2022-03-13,20.0,2022,0,CUT,-0.1,0.82,-3.4,0.36,-2.22,-2.32
Beau Hossler,"TPC Scottsdale - Scottsdale, AZ",14,Knowledgeable,B. Hossler,401353236,6011,142,143,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,-0.79,0.05,-0.53,0.19,-0.29,-1.08
